PropertyID,PropertyStreetCode,PropertyTown,PropertyCounty,PropertyCurrentStatus,PropertyType,PropertyAreaOffice,PropertyOwningBody,PropertyLocalAuthorityArea,PropertySubType,PropertyStyle,YearOfConstruction,BedSpaces
U12889,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12891,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12892,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12896,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U13150,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,3
U13152,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,3
U13154,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,3
U13157,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,2
U13159,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,2
U13162,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,3
U13163,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,3
U13164,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,4
873,Mill Court,Bandon,Co. Cork,Occupied,Property,Mick Concannon,Residential In Management,Cork County ,Older Persons - Sheltered,Apartment,2007,1
8733,Taylor Hill,Balbriggan,Co. Dublin,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Semi-detached House,2018,3
8734,Taylor Hill,Balbriggan,Co. Dublin,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Semi-detached House,2018,3
8735,Taylor Hill,Balbriggan,Co. Dublin,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Semi-detached House,2018,3
8736,Taylor Hill,Balbriggan,Co. Dublin,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Semi-detached House,2018,3
8739,Taylor Hill,Balbriggan,Co. Dublin,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Semi-detached House,2018,3
8741,Taylor Hill,Balbriggan,Co. Dublin,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Semi-detached House,2018,3
U12776,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12778,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12779,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12780,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12782,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12786,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12787,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12788,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12791,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12792,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12795,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12796,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12797,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
