PropertyID,PropertyStreetCode,PropertyTown,PropertyCounty,PropertyCurrentStatus,PropertyType,PropertyAreaOffice,PropertyOwningBody,PropertyLocalAuthorityArea,PropertySubType,PropertyStyle,YearOfConstruction,BedSpaces
4972,Belarmine & Belfry Affordables,Stepaside,Dublin 18,Housing Void,Property,Sold/Disposed,Disposed/Sold,Dun Laoghaire Rathdown ,General Needs,Apartment,2008,1
3729,Castle Meadows,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,Traveller,Semi-detached House,2010,4
373,Killarney Court Estate,Killarney Street,Dublin 1,Occupied,Property,Eimear Lynch,Residential In Management,Dublin City ,Older Persons - Sheltered,Apartment,2002,2
3732,Castle Meadows,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,Traveller,Semi-detached House,2010,4
3736,Castle Meadows,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,Traveller,Bungalow -semi-detached,2010,3
3737,Castle Meadows,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,Traveller,Bungalow -semi-detached,2010,3
3739,Castle Meadows,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,Traveller,Semi-detached House,2010,4
U13841,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,1
3742,Castle Meadows,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,Traveller,Semi-detached House,2010,4
3745,Hazelwood Gardens,Glanmire,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork City ,General Needs,Room in Group Home,1982,1
3747,Hazelwood Gardens,Glanmire,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork City ,General Needs,Room in Group Home,1982,1
3748,Oakfield Avenue,Glanmire,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork City ,General Needs,Room in Group Home,2008,1
3749,Oakfield Avenue,Glanmire,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork City ,General Needs,Room in Group Home,2008,1
U13842,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,2
U13843,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,2
